2016-06-28 14:43:00,330 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:44:56,152 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:44:56,236 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:44:56,735 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:44:56,770 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:44:57,232 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:44:57,265 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:44:57,795 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:44:57,831 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:44:58,314 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:44:58,388 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:44:58,906 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:44:58,977 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:44:59,443 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:44:59,511 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:45:32,277 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:45:32,360 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:45:32,865 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:45:32,903 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:45:33,388 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:45:33,422 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:45:33,958 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:45:33,992 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:45:34,499 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:45:34,570 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:45:35,085 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:45:35,158 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:45:35,617 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:45:35,692 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:46:53,065 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:46:53,149 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:46:53,630 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:46:53,664 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:46:54,160 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:46:54,197 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:46:54,755 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:46:54,790 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:46:55,260 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:46:55,329 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:46:55,843 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:46:55,915 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:46:56,388 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:46:56,458 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:47:54,978 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:47:55,054 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:47:55,526 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
